president|link
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11044-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-sancao-da-lei-que-anistia-estrangeiros-em-situacao-irregular-no-brasil-brasilia-02-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11045-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-13-assembleia-da-uniao-africana-sirte-1-de-julho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11048-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-da-presidente-das-filipinas-gloria-macapagal-arroyo-brasilia-24-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11049-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-apos-reuniao-ampliada-com-o-presidente-do-cazaquistao-nursultan-nazarbayev-astana-17-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11051-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-pelo-presidente-do-cazaquistao-nursultan-nazarbayev-astana-17-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11054-mensagem-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-apresentacao-da-candidatura-rio-2016-lausanne-17-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11056-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-visita-a-sede-da-uniao-internacional-de-telecomunicacoes-uit-onde-foi-agraciado-com-o-premio-mundial-das-telecomunicacoes-e-sociedade-da-informacao-genebra-15-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11057-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-sessao-do-conselho-de-direitos-humanos-da-onu-genebra-15-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11058-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-encontro-com-sindicalistas-genebra-15-de-junho-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11118-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-jantar-oferecido-pelo-presidente-da-turquia-abdullah-guel-ancara-22-de-maio-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/11120-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-seminario-internacional-brasil-turquia-istambul-21-de-maio-de-2009
